VIT Branch,Subject Branch,CGPA,Placement got
AP,B.Tech Computer Science & Engineering,6.33,No
Vellore,B.Tech Mechanical Eng (AI & Robotics),5.09,No
AP,B.Tech Computer Science & Engineering,5.39,No
AP,B.Tech Computer Science & Engineering,7.73,No
Bhopal,B.Tech CSE (Education Technology),5.95,No
Chennai,B.Tech Computer Science & Engineering,8.23,No
Chennai,B.Tech Computer Science & Engineering,9.72,Yes
AP,B.Tech Computer Science & Engineering,8.44,Yes
Chennai,B.Tech Computer Science & Engineering,9.02,Yes
Chennai,B.Tech Computer Science & Engineering,8.53,Yes
Vellore,B.Tech Computer Science & Engineering,5.56,No
Vellore,B.Tech Computer Science & Engineering,6.38,No
Vellore,B.Tech Computer Science & Engineering,7.58,No
Vellore,B.Tech Computer Science & Engineering,7.15,No
Chennai,B.Tech Computer Science & Engineering,9.17,No
AP,B.Tech CSE (Education Technology),8.84,Yes
AP,M.Tech VLSI Design,5.74,No
Vellore,B.Tech Computer Science & Engineering,9.19,Yes
Chennai,B.Tech Computer Science & Engineering,9.34,Yes
Chennai,B.Tech Computer Science & Engineering,7.68,No
AP,M.Tech CSE (Cyber Security),7.86,No
Vellore,B.Tech Mechanical Eng (AI & Robotics),9.46,Yes
Vellore,B.Tech CSE (Health Informatics),9.15,No
Bhopal,B.Tech Computer Science & Engineering,7.31,No
AP,B.Tech Computer Science & Engineering,6.02,No
Vellore,B.Tech Computer Science & Engineering,9.47,Yes
Vellore,B.Tech Computer Science & Engineering,9.82,Yes
Vellore,B.Tech Computer Science & Engineering,7.15,No
Chennai,B.Tech CSE (E-Commerce Technology),7.51,No
Vellore,B.Tech Computer Science & Engineering,7.47,No
Chennai,B.Tech Electronics & Communication Engineering,5.57,No
Bhopal,B.Tech Computer Science & Engineering,8.53,Yes
Chennai,B.Tech CSE (Cyber Security & Digital Forensics),7.7,No
Vellore,B.Tech CSE (AI & ML),5.64,No
Bhopal,B.Tech Computer Science & Engineering,7.46,No
AP,B.Tech Computer Science & Engineering,9.68,Yes
Chennai,B.Tech Computer Science & Engineering,8.56,Yes
Chennai,B.Tech Computer Science & Engineering,7.84,No
Vellore,B.Tech CSE (Health Informatics),8.83,Yes
Chennai,B.Tech Electronics & Communication Engineering,9.39,Yes
Vellore,B.Tech CSE (AI & ML),7.01,No
Chennai,B.Tech CSE (Cloud Computing & Automation),7.29,No
Vellore,B.Tech Computer Science & Engineering,7.03,No
AP,B.Tech Computer Science & Engineering,6.5,No
Chennai,B.Tech Computer Science & Engineering,6.78,No
AP,B.Tech Computer Science & Engineering,8.87,No
Vellore,B.Tech Computer Science & Engineering,9.6,Yes
Bhopal,B.Tech Computer Science & Engineering,7.69,No
Chennai,B.Tech CSE (Health Informatics),8.03,No
Vellore,B.Tech Computer Science & Engineering,8.91,No
Vellore,B.Tech Computer Science & Engineering,8.17,No
Bhopal,B.Tech Computer Science & Engineering,7.96,No
Chennai,B.Tech Mechanical Engineering,5.46,No
Vellore,B.Tech CSE (E-Commerce Technology),9.91,No
Bhopal,M.Tech CSE (Cyber Security),8.3,Yes
Vellore,B.Tech CSE (Health Informatics),5.12,No
AP,B.Tech Computer Science & Engineering,7.19,No
Vellore,B.Tech Computer Science & Engineering,8.42,Yes
AP,B.Tech Computer Science & Engineering,9.86,No
Chennai,B.Tech CSE (Cloud Computing & Automation),5.96,No
Chennai,B.Tech CSE (Health Informatics),8.67,Yes
Vellore,B.Tech CSE (E-Commerce Technology),9.75,No
Bhopal,B.Tech Computer Science & Engineering,5.18,No
Vellore,B.Tech Computer Science & Engineering,7.3,No
Vellore,B.Tech Electronics & Communication Engineering,9.11,Yes
Vellore,B.Tech Computer Science & Engineering,6.86,No
Vellore,B.Tech CSE (AI & ML),5.0,No
Bhopal,B.Tech Computer Science & Engineering,9.99,Yes
Bhopal,B.Tech Computer Science & Engineering,9.66,Yes
Chennai,B.Tech Computer Science & Engineering,6.18,No
Chennai,B.Tech Computer Science & Engineering,7.85,No
Vellore,B.Tech Mechanical Eng (AI & Robotics),6.61,No
AP,B.Tech Computer Science & Engineering,5.3,No
AP,B.Tech Computer Science & Engineering,6.76,No
Vellore,B.Tech Mechanical Engineering,5.31,No
Chennai,B.Tech Computer Science & Engineering,8.14,No
Chennai,B.Tech CSE (AI & ML),6.13,No
Chennai,B.Tech Computer Science & Engineering,7.25,No
Vellore,B.Tech ECE (AI & Cybernetics),6.13,No
Vellore,B.Tech CSE (AI & ML),9.76,Yes
Chennai,B.Tech Computer Science & Engineering,9.66,No
Bhopal,B.Tech Electronics & Communication Engineering,9.86,No
Chennai,B.Tech CSE (E-Commerce Technology),9.4,Yes
Vellore,M.Tech CSE (Cyber Security),9.76,Yes
Bhopal,B.Tech Computer Science & Engineering,5.19,No
Vellore,B.Tech Computer Science & Engineering,6.14,No
Vellore,B.Tech Computer Science & Engineering,5.13,No
Vellore,B.Tech Computer Science & Engineering,6.63,No
Vellore,B.Tech Computer Science & Engineering,9.77,Yes
Chennai,B.Tech Computer Science & Engineering,7.73,No
Vellore,B.Tech Computer Science & Engineering,8.9,No
Bhopal,B.Tech Electronics & Communication Engineering,5.2,No
AP,B.Tech Computer Science & Engineering,7.25,No
Vellore,B.Tech CSE (Education Technology),7.1,No
Bhopal,B.Tech Computer Science & Engineering,9.96,Yes
AP,B.Tech Computer Science & Engineering,5.38,No
Vellore,B.Tech Computer Science & Engineering,7.33,No
Chennai,B.Tech Computer Science & Engineering,5.48,No
Bhopal,B.Tech ECE (AI & Cybernetics),6.26,No
Vellore,B.Tech Computer Science & Engineering,5.69,No
Bhopal,B.Tech Computer Science & Engineering,7.5,No
Chennai,B.Tech Computer Science & Engineering,9.97,No
Chennai,B.Tech Computer Science & Engineering,9.65,Yes
Vellore,B.Tech Computer Science & Engineering,8.7,No
Bhopal,B.Tech CSE (Education Technology),6.75,No
Chennai,B.Tech Electronics & Communication Engineering,5.68,No
Chennai,B.Tech Computer Science & Engineering,5.68,No
Chennai,B.Tech Computer Science & Engineering,5.99,No
Chennai,B.Tech Computer Science & Engineering,9.6,No
Vellore,B.Tech Computer Science & Engineering,8.83,No
Bhopal,B.Tech Computer Science & Engineering,7.76,No
Chennai,B.Tech Computer Science & Engineering,6.09,No
Vellore,B.Tech ECE (AI & Cybernetics),8.3,No
Vellore,B.Tech CSE (Health Informatics),6.92,No
Vellore,B.Tech Computer Science & Engineering,5.98,No
Chennai,B.Tech CSE (AI & ML),6.89,No
AP,B.Tech Electronics & Communication Engineering,8.03,No
Chennai,B.Tech CSE (E-Commerce Technology),6.34,No
Bhopal,B.Tech ECE (AI & Cybernetics),9.98,Yes
Vellore,B.Tech Computer Science & Engineering,8.33,No
Chennai,B.Tech Computer Science & Engineering,8.41,No
Chennai,B.Tech CSE (Cloud Computing & Automation),5.31,No
Chennai,B.Tech Computer Science & Engineering,9.86,Yes
Bhopal,B.Tech ECE (AI & Cybernetics),9.19,No
AP,B.Tech Computer Science & Engineering,9.69,No
AP,M.Tech VLSI Design,7.93,No
AP,B.Tech Computer Science & Engineering,9.4,Yes
Vellore,Other,8.54,Yes
Vellore,B.Tech Computer Science & Engineering,9.11,Yes
Vellore,B.Tech Computer Science & Engineering,6.65,No
Vellore,B.Tech ECE (AI & Cybernetics),8.92,Yes
AP,B.Tech Mechanical Eng (AI & Robotics),5.64,No
AP,B.Tech Computer Science & Engineering,5.15,No
AP,M.Tech VLSI Design,7.19,No
Bhopal,B.Tech CSE (E-Commerce Technology),6.67,No
AP,B.Tech CSE (AI & ML),9.46,Yes
Bhopal,M.Tech VLSI Design,7.77,No
Bhopal,B.Tech Computer Science & Engineering,8.15,Yes
Vellore,B.Tech CSE (AI & ML),5.15,No
Vellore,B.Tech Computer Science & Engineering,7.35,No
Chennai,B.Tech CSE (E-Commerce Technology),5.43,No
AP,B.Tech Computer Science & Engineering,6.0,No
Chennai,B.Tech Computer Science & Engineering,6.32,No
AP,M.Tech AI & Data Science,6.46,No
Chennai,B.Tech Computer Science & Engineering,5.62,No
Chennai,B.Tech CSE (E-Commerce Technology),6.68,No
Vellore,B.Tech CSE (Education Technology),8.12,Yes
Vellore,B.Tech Computer Science & Engineering,6.76,No
Vellore,B.Tech Computer Science & Engineering,8.68,Yes
Bhopal,B.Tech Computer Science & Engineering,8.68,Yes
Vellore,B.Tech Computer Science & Engineering,6.23,No
Bhopal,B.Tech Computer Science & Engineering,8.0,No
Chennai,M.Tech VLSI Design,8.56,No
Chennai,B.Tech Computer Science & Engineering,7.25,No
AP,B.Tech Computer Science & Engineering,9.78,No
AP,B.Tech Computer Science & Engineering,7.23,No
Vellore,B.Tech Computer Science & Engineering,8.18,Yes
AP,B.Tech Electronics & Communication Engineering,8.55,No
Chennai,B.Tech Computer Science & Engineering,9.99,No
Vellore,B.Tech Electronics & Communication Engineering,7.27,No
Vellore,B.Tech Computer Science & Engineering,9.95,Yes
Chennai,B.Tech Mechanical Eng (AI & Robotics),9.7,No
AP,B.Tech Computer Science & Engineering,8.51,Yes
Bhopal,B.Tech Computer Science & Engineering,9.51,No
Bhopal,B.Tech Electronics & Communication Engineering,8.87,Yes
Vellore,B.Tech Electronics & Communication Engineering,8.52,Yes
Vellore,B.Tech Computer Science & Engineering,5.94,No
Vellore,B.Tech Mechanical Eng (AI & Robotics),7.07,No
Chennai,B.Tech Computer Science & Engineering,5.34,No
Bhopal,B.Tech Computer Science & Engineering,7.72,No
AP,B.Tech CSE (Cloud Computing & Automation),8.57,Yes
Vellore,B.Tech Computer Science & Engineering,5.89,No
AP,B.Tech CSE (AI & ML),6.34,No
Bhopal,B.Tech Computer Science & Engineering,5.29,No
Vellore,B.Tech Computer Science & Engineering,5.87,No
AP,B.Tech Computer Science & Engineering,5.13,No
Vellore,B.Tech Computer Science & Engineering,7.46,No
AP,B.Tech Electronics & Communication Engineering,7.46,No
Vellore,B.Tech Computer Science & Engineering,9.34,No
Vellore,B.Tech CSE (E-Commerce Technology),6.14,No
AP,M.Tech VLSI Design,8.16,Yes
AP,B.Tech CSE (Cloud Computing & Automation),8.76,No
AP,B.Tech Computer Science & Engineering,7.54,No
AP,B.Tech Computer Science & Engineering,9.56,Yes
Vellore,B.Tech Computer Science & Engineering,8.69,Yes
Bhopal,B.Tech Mechanical Eng (AI & Robotics),5.63,No
Vellore,B.Tech Computer Science & Engineering,5.95,No
Vellore,B.Tech Computer Science & Engineering,8.1,Yes
Chennai,B.Tech Computer Science & Engineering,5.77,No
Vellore,B.Tech Computer Science & Engineering,9.84,Yes
AP,Other,7.54,No
AP,B.Tech Computer Science & Engineering,9.85,Yes
AP,M.Tech AI & Data Science,9.71,Yes
Bhopal,B.Tech Computer Science & Engineering,6.25,No
AP,B.Tech CSE (Cyber Security & Digital Forensics),9.13,Yes
Vellore,B.Tech Electronics & Communication Engineering,8.88,Yes
AP,B.Tech Computer Science & Engineering,8.78,Yes
Chennai,B.Tech Mechanical Engineering,6.19,No
Chennai,B.Tech Computer Science & Engineering,5.1,No
Vellore,B.Tech CSE (E-Commerce Technology),5.75,No
Vellore,M.Tech CSE (Cyber Security),8.39,No
Vellore,B.Tech Computer Science & Engineering,8.62,No
Vellore,B.Tech Computer Science & Engineering,7.5,No
AP,B.Tech Computer Science & Engineering,9.34,No
AP,B.Tech Mechanical Eng (AI & Robotics),6.31,No
AP,B.Tech Computer Science & Engineering,9.64,No
AP,B.Tech Electronics & Communication Engineering,9.01,Yes
Vellore,B.Tech Mechanical Eng (AI & Robotics),7.07,No
AP,B.Tech Computer Science & Engineering,5.33,No
Chennai,M.Tech CSE (Cyber Security),6.2,No
Vellore,B.Tech Computer Science & Engineering,5.54,No
Bhopal,B.Tech Computer Science & Engineering,7.72,No
Bhopal,M.Tech CSE (Cyber Security),9.02,Yes
Chennai,B.Tech Computer Science & Engineering,7.98,No
Vellore,B.Tech Computer Science & Engineering,6.35,No
Vellore,B.Tech Electronics & Communication Engineering,6.13,No
Vellore,B.Tech Computer Science & Engineering,9.11,No
AP,B.Tech CSE (AI & ML),5.93,No
Bhopal,B.Tech CSE (Health Informatics),5.81,No
Vellore,B.Tech CSE (AI & ML),8.78,Yes
Chennai,B.Tech Computer Science & Engineering,7.32,No
Vellore,B.Tech Computer Science & Engineering,7.54,No
Vellore,B.Tech Computer Science & Engineering,7.05,No
Chennai,B.Tech Computer Science & Engineering,6.62,No
Chennai,B.Tech Computer Science & Engineering,9.92,Yes
Vellore,B.Tech Computer Science & Engineering,8.86,No
Bhopal,B.Tech Computer Science & Engineering,6.15,No
Bhopal,B.Tech Computer Science & Engineering,5.66,No
AP,B.Tech Computer Science & Engineering,8.99,Yes
Vellore,B.Tech Electronics & Communication Engineering,6.22,No
AP,B.Tech Computer Science & Engineering,5.4,No
AP,B.Tech Computer Science & Engineering,5.47,No
Vellore,B.Tech Computer Science & Engineering,7.69,No
Vellore,B.Tech Computer Science & Engineering,8.95,Yes
Chennai,B.Tech Computer Science & Engineering,5.75,No
Bhopal,B.Tech Computer Science & Engineering,5.31,No
AP,B.Tech CSE (E-Commerce Technology),9.45,No
Vellore,B.Tech CSE (Education Technology),6.86,No
Chennai,B.Tech Computer Science & Engineering,7.94,No
Vellore,B.Tech CSE (Cloud Computing & Automation),5.8,No
Chennai,B.Tech CSE (E-Commerce Technology),6.36,No
AP,B.Tech Computer Science & Engineering,8.46,No
Chennai,B.Tech Computer Science & Engineering,7.12,No
Bhopal,B.Tech Computer Science & Engineering,5.1,No
AP,B.Tech Computer Science & Engineering,9.7,Yes
Vellore,B.Tech Computer Science & Engineering,9.82,No
Chennai,B.Tech CSE (AI & ML),5.19,No
Chennai,B.Tech Computer Science & Engineering,8.44,Yes
AP,B.Tech Computer Science & Engineering,5.91,No
Vellore,B.Tech Computer Science & Engineering,5.45,No
Chennai,B.Tech Computer Science & Engineering,9.04,Yes
Vellore,B.Tech Computer Science & Engineering,7.26,No
Bhopal,B.Tech Computer Science & Engineering,5.88,No
Chennai,B.Tech Computer Science & Engineering,9.84,No
Vellore,B.Tech Computer Science & Engineering,8.4,No
Vellore,B.Tech Computer Science & Engineering,6.05,No
Vellore,B.Tech Electronics & Communication Engineering,9.65,Yes
Chennai,B.Tech Computer Science & Engineering,7.56,No
Bhopal,B.Tech Computer Science & Engineering,9.95,No
Vellore,B.Tech Computer Science & Engineering,6.87,No
Vellore,B.Tech Computer Science & Engineering,5.54,No
Vellore,B.Tech Computer Science & Engineering,5.24,No
AP,B.Tech Computer Science & Engineering,5.79,No
Vellore,B.Tech Computer Science & Engineering,9.34,No
Bhopal,B.Tech ECE (AI & Cybernetics),5.45,No
Vellore,B.Tech Computer Science & Engineering,6.52,No
AP,B.Tech Computer Science & Engineering,6.0,No
AP,B.Tech Computer Science & Engineering,8.58,No
Bhopal,M.Tech CSE (Cyber Security),7.02,No
Vellore,B.Tech ECE (AI & Cybernetics),6.7,No
AP,B.Tech Computer Science & Engineering,8.71,No
Vellore,B.Tech Computer Science & Engineering,8.63,No
Vellore,M.Tech CSE (Cyber Security),8.71,Yes
Chennai,B.Tech Computer Science & Engineering,9.98,Yes
Vellore,B.Tech CSE (Education Technology),7.42,No
Vellore,B.Tech ECE (AI & Cybernetics),7.14,No
Bhopal,B.Tech Computer Science & Engineering,8.14,No
Vellore,B.Tech CSE (Cloud Computing & Automation),8.31,Yes
Vellore,B.Tech Computer Science & Engineering,9.59,Yes
AP,B.Tech CSE (AI & ML),5.03,No
Vellore,B.Tech Computer Science & Engineering,9.01,Yes
Vellore,B.Tech ECE (AI & Cybernetics),8.4,Yes
Vellore,B.Tech Computer Science & Engineering,5.78,No
Bhopal,B.Tech Computer Science & Engineering,6.62,No
Vellore,B.Tech Computer Science & Engineering,6.4,No
Vellore,B.Tech Computer Science & Engineering,9.99,No
AP,B.Tech ECE (AI & Cybernetics),8.04,No
Vellore,B.Tech Computer Science & Engineering,7.93,No
Vellore,M.Tech VLSI Design,8.67,Yes
AP,B.Tech Computer Science & Engineering,5.64,No
Vellore,M.Tech VLSI Design,6.26,No
AP,B.Tech Computer Science & Engineering,5.71,No
Vellore,B.Tech Computer Science & Engineering,7.77,No
Chennai,B.Tech Mechanical Eng (AI & Robotics),7.39,No
Chennai,B.Tech Computer Science & Engineering,7.75,No
Vellore,B.Tech Electronics & Communication Engineering,5.92,No
Vellore,B.Tech Mechanical Engineering,6.5,No
Bhopal,B.Tech Computer Science & Engineering,8.71,Yes
Chennai,B.Tech Computer Science & Engineering,5.5,No
Vellore,B.Tech CSE (E-Commerce Technology),7.27,No
Vellore,B.Tech Computer Science & Engineering,6.0,No
AP,B.Tech Computer Science & Engineering,5.26,No
Chennai,B.Tech Computer Science & Engineering,5.86,No
Chennai,B.Tech Mechanical Eng (AI & Robotics),8.74,Yes
Chennai,B.Tech Computer Science & Engineering,7.2,No
Bhopal,B.Tech Computer Science & Engineering,9.3,Yes
AP,B.Tech Electronics & Communication Engineering,7.83,No
Bhopal,B.Tech Electronics & Communication Engineering,9.78,No
Bhopal,B.Tech Electronics & Communication Engineering,5.79,No
AP,M.Tech CSE (Cyber Security),7.69,No
Vellore,B.Tech ECE (AI & Cybernetics),5.0,No
Bhopal,B.Tech Computer Science & Engineering,8.53,Yes
Chennai,B.Tech Computer Science & Engineering,9.97,No
Vellore,B.Tech CSE (Health Informatics),9.6,Yes
Bhopal,B.Tech Computer Science & Engineering,9.7,No
Chennai,B.Tech Computer Science & Engineering,7.87,No
Chennai,B.Tech Computer Science & Engineering,9.46,Yes
Vellore,B.Tech CSE (E-Commerce Technology),7.08,No
Chennai,B.Tech Computer Science & Engineering,5.59,No
Vellore,B.Tech CSE (Health Informatics),8.03,Yes
AP,B.Tech Computer Science & Engineering,6.54,No
Vellore,B.Tech Computer Science & Engineering,6.66,No
Chennai,B.Tech CSE (E-Commerce Technology),7.62,No
Vellore,B.Tech Computer Science & Engineering,7.58,No
AP,B.Tech Computer Science & Engineering,9.05,Yes
Bhopal,B.Tech Computer Science & Engineering,8.61,Yes
Vellore,B.Tech Mechanical Eng (AI & Robotics),9.45,Yes
Vellore,B.Tech Computer Science & Engineering,6.24,No
Chennai,B.Tech Computer Science & Engineering,5.61,No
Bhopal,B.Tech Electronics & Communication Engineering,5.43,No
Vellore,B.Tech Computer Science & Engineering,8.57,Yes
Chennai,B.Tech Computer Science & Engineering,6.9,No
AP,B.Tech Computer Science & Engineering,7.26,No
Bhopal,B.Tech Computer Science & Engineering,7.65,No
Vellore,B.Tech Electronics & Communication Engineering,7.44,No
Bhopal,B.Tech Computer Science & Engineering,9.92,No
Chennai,B.Tech CSE (Health Informatics),9.44,No
AP,B.Tech CSE (Health Informatics),7.24,No
Vellore,B.Tech Electronics & Communication Engineering,6.85,No
Chennai,B.Tech Computer Science & Engineering,7.11,No
Vellore,M.Tech VLSI Design,8.89,No
AP,B.Tech Computer Science & Engineering,5.11,No
Vellore,M.Tech CSE (Cyber Security),9.51,Yes
Chennai,B.Tech Computer Science & Engineering,5.74,No
Vellore,B.Tech ECE (AI & Cybernetics),7.99,No
Vellore,B.Tech Electronics & Communication Engineering,5.88,No
Vellore,B.Tech Computer Science & Engineering,7.86,No
AP,B.Tech Computer Science & Engineering,8.62,Yes
Chennai,B.Tech Computer Science & Engineering,7.54,No
Vellore,B.Tech Computer Science & Engineering,5.92,No
Chennai,B.Tech Computer Science & Engineering,7.15,No
AP,B.Tech Computer Science & Engineering,9.9,Yes
AP,B.Tech Computer Science & Engineering,8.8,Yes
Vellore,B.Tech Computer Science & Engineering,8.92,Yes
Chennai,B.Tech Computer Science & Engineering,6.38,No
Vellore,B.Tech Computer Science & Engineering,6.25,No
Bhopal,B.Tech Computer Science & Engineering,9.75,No
AP,B.Tech Computer Science & Engineering,9.65,No
Vellore,B.Tech Computer Science & Engineering,5.69,No
Vellore,B.Tech Computer Science & Engineering,5.23,No
Vellore,B.Tech CSE (Cyber Security & Digital Forensics),8.36,No
Vellore,M.Tech VLSI Design,7.75,No
AP,B.Tech Computer Science & Engineering,7.09,No
Vellore,B.Tech CSE (Cyber Security & Digital Forensics),6.34,No
Vellore,B.Tech CSE (AI & ML),7.81,No
Vellore,M.Tech VLSI Design,6.92,No
Chennai,B.Tech Computer Science & Engineering,9.43,Yes
Bhopal,B.Tech CSE (Health Informatics),9.44,Yes
AP,B.Tech Computer Science & Engineering,9.23,Yes
Vellore,B.Tech CSE (Cyber Security & Digital Forensics),5.09,No
AP,B.Tech Computer Science & Engineering,8.56,No
Chennai,B.Tech Computer Science & Engineering,9.24,Yes
Chennai,B.Tech Computer Science & Engineering,6.76,No
Bhopal,B.Tech CSE (Cloud Computing & Automation),9.67,No
Chennai,B.Tech Computer Science & Engineering,7.6,No
Vellore,B.Tech Computer Science & Engineering,6.07,No
Vellore,B.Tech Computer Science & Engineering,5.25,No
Bhopal,B.Tech CSE (Cyber Security & Digital Forensics),8.5,Yes
Vellore,B.Tech CSE (Health Informatics),6.98,No
Vellore,B.Tech Computer Science & Engineering,8.89,Yes
Chennai,B.Tech CSE (Cyber Security & Digital Forensics),5.35,No
Vellore,B.Tech Computer Science & Engineering,7.24,No
AP,B.Tech Computer Science & Engineering,6.41,No
Vellore,B.Tech CSE (E-Commerce Technology),7.15,No
Chennai,B.Tech Mechanical Engineering,5.34,No
Vellore,B.Tech CSE (AI & ML),7.36,No
Vellore,B.Tech Computer Science & Engineering,8.9,No
AP,B.Tech Computer Science & Engineering,8.96,Yes
Vellore,B.Tech Computer Science & Engineering,5.54,No
Chennai,B.Tech Computer Science & Engineering,6.72,No
Chennai,B.Tech Electronics & Communication Engineering,8.93,No
Chennai,B.Tech Computer Science & Engineering,5.06,No
Vellore,B.Tech Computer Science & Engineering,8.49,Yes
AP,B.Tech Electronics & Communication Engineering,6.28,No
Vellore,B.Tech Computer Science & Engineering,9.78,No
Vellore,B.Tech Electronics & Communication Engineering,7.39,No
Vellore,B.Tech Computer Science & Engineering,9.07,Yes
Vellore,B.Tech Computer Science & Engineering,8.08,Yes
Chennai,B.Tech Computer Science & Engineering,6.26,No
Vellore,B.Tech Computer Science & Engineering,9.22,No
AP,B.Tech Computer Science & Engineering,8.63,Yes
Vellore,B.Tech Computer Science & Engineering,6.92,No
Chennai,B.Tech Computer Science & Engineering,8.69,No
Chennai,B.Tech Computer Science & Engineering,7.49,No
AP,B.Tech Computer Science & Engineering,7.74,No
Vellore,B.Tech Computer Science & Engineering,7.25,No
Vellore,B.Tech ECE (AI & Cybernetics),8.54,Yes
Chennai,B.Tech Mechanical Engineering,9.4,No
Vellore,B.Tech Computer Science & Engineering,9.06,No
Chennai,B.Tech CSE (Cyber Security & Digital Forensics),5.27,No
Vellore,B.Tech CSE (Education Technology),8.2,Yes
Chennai,B.Tech CSE (AI & ML),9.41,No
Vellore,B.Tech CSE (AI & ML),5.84,No
Vellore,B.Tech Computer Science & Engineering,7.26,No
Chennai,B.Tech CSE (AI & ML),6.16,No
Chennai,B.Tech CSE (AI & ML),6.79,No
Vellore,B.Tech Mechanical Engineering,5.79,No
AP,B.Tech Computer Science & Engineering,9.95,Yes
Bhopal,B.Tech Computer Science & Engineering,7.25,No
Chennai,B.Tech Computer Science & Engineering,7.09,No
Chennai,B.Tech CSE (AI & ML),6.78,No
AP,B.Tech CSE (AI & ML),5.08,No
Bhopal,B.Tech Computer Science & Engineering,6.69,No
Bhopal,B.Tech Computer Science & Engineering,8.47,Yes
Chennai,B.Tech CSE (E-Commerce Technology),8.97,No
Bhopal,B.Tech Computer Science & Engineering,7.51,No
Vellore,B.Tech Computer Science & Engineering,6.54,No
AP,B.Tech Computer Science & Engineering,5.84,No
Bhopal,B.Tech CSE (Cloud Computing & Automation),6.43,No
Vellore,B.Tech ECE (AI & Cybernetics),5.55,No
Bhopal,B.Tech Computer Science & Engineering,9.9,Yes
Bhopal,B.Tech Computer Science & Engineering,5.65,No
Vellore,B.Tech CSE (Education Technology),9.59,No
Vellore,B.Tech Computer Science & Engineering,9.53,Yes
Vellore,B.Tech CSE (Education Technology),8.0,No
AP,M.Tech VLSI Design,7.69,No
AP,B.Tech Computer Science & Engineering,9.88,Yes
Bhopal,B.Tech Electronics & Communication Engineering,5.31,No
Chennai,B.Tech Computer Science & Engineering,9.47,Yes
Chennai,B.Tech CSE (AI & ML),6.1,No
AP,B.Tech Computer Science & Engineering,9.61,Yes
Vellore,B.Tech Computer Science & Engineering,6.53,No
Vellore,B.Tech ECE (AI & Cybernetics),9.42,No
AP,B.Tech CSE (Education Technology),5.87,No
Chennai,B.Tech Computer Science & Engineering,9.53,Yes
AP,B.Tech Computer Science & Engineering,8.44,Yes
Vellore,B.Tech Computer Science & Engineering,7.86,No
Vellore,B.Tech Computer Science & Engineering,7.75,No
Vellore,B.Tech CSE (Cyber Security & Digital Forensics),8.12,Yes
Vellore,M.Tech VLSI Design,7.14,No
AP,B.Tech Computer Science & Engineering,9.98,No
Chennai,B.Tech Computer Science & Engineering,7.87,No
Bhopal,B.Tech Computer Science & Engineering,8.4,No
Chennai,B.Tech Computer Science & Engineering,8.83,No
Vellore,B.Tech CSE (Health Informatics),6.14,No
Chennai,B.Tech Computer Science & Engineering,7.43,No
Vellore,M.Tech VLSI Design,9.35,No
Chennai,B.Tech Mechanical Eng (AI & Robotics),8.79,No
Chennai,B.Tech Computer Science & Engineering,8.65,No
Vellore,B.Tech Computer Science & Engineering,7.62,No
Chennai,B.Tech Computer Science & Engineering,6.16,No
Vellore,B.Tech Mechanical Engineering,8.82,No
Chennai,B.Tech Computer Science & Engineering,9.92,Yes
Bhopal,B.Tech CSE (AI & ML),5.65,No
Vellore,B.Tech Computer Science & Engineering,8.87,Yes
Vellore,B.Tech Computer Science & Engineering,8.01,No
Chennai,B.Tech Computer Science & Engineering,8.32,Yes
Vellore,B.Tech Computer Science & Engineering,7.92,No
Vellore,B.Tech Mechanical Engineering,8.16,No
Vellore,B.Tech Computer Science & Engineering,6.56,No
Chennai,B.Tech Computer Science & Engineering,6.41,No
Chennai,B.Tech Mechanical Eng (AI & Robotics),9.61,Yes
AP,B.Tech CSE (AI & ML),9.61,Yes
Bhopal,B.Tech Computer Science & Engineering,7.45,No
Chennai,B.Tech Computer Science & Engineering,5.12,No
Chennai,B.Tech CSE (Education Technology),6.69,No
Vellore,B.Tech Computer Science & Engineering,8.16,Yes
Chennai,B.Tech Computer Science & Engineering,8.19,Yes
Bhopal,B.Tech CSE (Cyber Security & Digital Forensics),9.88,No
Chennai,B.Tech Computer Science & Engineering,6.84,No
Vellore,B.Tech Computer Science & Engineering,6.37,No
Vellore,B.Tech Computer Science & Engineering,5.51,No
Chennai,B.Tech Computer Science & Engineering,6.04,No
Bhopal,B.Tech Computer Science & Engineering,7.83,No
Vellore,B.Tech Computer Science & Engineering,9.24,Yes
Chennai,B.Tech CSE (E-Commerce Technology),7.07,No
Chennai,B.Tech Computer Science & Engineering,5.35,No
AP,B.Tech Computer Science & Engineering,9.85,Yes
Vellore,B.Tech Computer Science & Engineering,9.77,No
Vellore,B.Tech Mechanical Engineering,7.45,No
AP,B.Tech Computer Science & Engineering,7.94,No
AP,B.Tech Computer Science & Engineering,7.49,No
Chennai,B.Tech CSE (AI & ML),6.6,No
Vellore,B.Tech CSE (Health Informatics),9.18,Yes
AP,B.Tech CSE (Health Informatics),6.54,No
Bhopal,B.Tech Computer Science & Engineering,7.86,No
AP,B.Tech CSE (Health Informatics),7.2,No
Bhopal,B.Tech Computer Science & Engineering,9.74,No
AP,B.Tech CSE (AI & ML),5.64,No
AP,B.Tech Electronics & Communication Engineering,8.59,No
Vellore,B.Tech CSE (Education Technology),7.4,No
Vellore,B.Tech Computer Science & Engineering,8.06,No
Vellore,B.Tech Computer Science & Engineering,8.89,Yes
Chennai,B.Tech Computer Science & Engineering,7.31,No
